,Country of asylum,Recognized,Complementary protection,Rejected,Otherwise closed,Total decisions,Percentage of recognized,Percentage of Complementary protection,Percentage of Rejected,Percentage of closed
40,Croatia,698,98,2093,7193,10082,0.06923229517952788,0.009720293592541162,0.20759769886927196,0.713449712358659
41,Cuba,278,0,86,35,399,0.6967418546365914,0.0,0.21553884711779447,0.08771929824561403
42,Curacao ,97,0,24,51,172,0.563953488372093,0.0,0.13953488372093023,0.29651162790697677
43,Cyprus,1476,9295,27439,11162,49372,0.029895487320748603,0.1882646034189419,0.5557603499959491,0.22607955926436035
44,Czechia,1022,2056,6373,5692,15143,0.06748992934028925,0.1357723040348676,0.4208545202403751,0.3758832463844681
45,Dem. Rep. of the Congo,12350,62,485,1862,14759,0.8367775594552477,0.004200826614269259,0.03286130496646114,0.12616030896402194
46,Denmark,24639,13502,33581,20,71742,0.34343898971313874,0.18820216888294164,0.46808006467620084,0.00027877672771877
47,Djibouti,7162,5,31,2871,10069,0.7112920846161486,0.0004965736418710895,0.0030787565796007547,0.2851325851623796
48,Dominican Rep.,50,0,383,1568,2001,0.02498750624687656,0.0,0.19140429785107446,0.783608195902049
49,Ecuador,40870,6525,55648,44644,147687,0.2767339034579889,0.04418127526457982,0.3767968744710096,0.3022879468064217
50,Egypt,64736,930,20351,38087,124104,0.5216270224972603,0.007493714948752659,0.16398343324953266,0.3068958293044543
51,El Salvador,40,0,15,162,217,0.18433179723502305,0.0,0.06912442396313365,0.7465437788018433
52,Eritrea,15,0,0,135,150,0.1,0.0,0.0,0.9
53,Estonia,225,180,416,123,944,0.23834745762711865,0.1906779661016949,0.4406779661016949,0.13029661016949154
54,Eswatini,466,0,0,251,717,0.6499302649930265,0.0,0.0,0.3500697350069735
55,Ethiopia,24487,5,1581,6848,32921,0.7438109413444306,0.00015187874001397285,0.048024057592418214,0.2080131223231372
56,Fiji,20,0,5,15,40,0.5,0.0,0.125,0.375
57,Finland,14058,10561,32238,25572,82429,0.17054677358696574,0.12812238411238763,0.3911002195829138,0.31023062271773283
58,France,195308,88132,878256,57897,1219593,0.16014194899445963,0.07226345182368216,0.7201222047027164,0.04747239447914181
59,Gabon,25,77,2035,2899,5036,0.004964257347100874,0.01528991262907069,0.4040905480540111,0.5756552819698173
60,Gambia,40,0,0,302,342,0.11695906432748537,0.0,0.0,0.8830409356725146
61,Georgia,374,1341,2567,3435,7717,0.048464429182324735,0.17377219126603602,0.3326422184786834,0.4451211610729558
62,Germany,736120,449857,1008573,782693,2977243,0.24724888092775765,0.15109851631190332,0.33876072594679035,0.26289187681354864
63,Ghana,10975,920,181,13536,25612,0.4285100734030923,0.03592066218959863,0.0070669998438232075,0.5285022645634858
64,Greece,49756,18158,157984,160897,386795,0.12863661629545367,0.04694476402228571,0.40844374927287064,0.41597487040938996
65,Grenada,5,0,0,0,5,1.0,0.0,0.0,0.0
66,Guatemala,280,0,35,487,802,0.3491271820448878,0.0,0.043640897755610975,0.6072319201995012
67,Guinea,1113,50,698,1230,3091,0.3600776447751537,0.016175994823681657,0.22581688773859593,0.39792947266256873
68,Guinea-Bissau,33,0,34,294,361,0.09141274238227147,0.0,0.09418282548476455,0.814404432132964
69,Guyana,10,0,5,0,15,0.6666666666666666,0.0,0.3333333333333333,0.0
70,Haiti,10,0,0,40,50,0.2,0.0,0.0,0.8
71,Honduras,90,0,0,270,360,0.25,0.0,0.0,0.75
72,Hungary,1202,3171,23648,247902,275923,0.004356287804931086,0.011492336630146816,0.08570506989268745,0.8984463056722346
73,Iceland,365,401,2244,2808,5818,0.0627363355104847,0.06892402887590238,0.3856995531110347,0.4826400825025782
74,India,35124,0,11770,19839,66733,0.5263362953860908,0.0,0.17637450736517166,0.2972891972487375
75,Indonesia,18091,0,3000,21999,43090,0.4198421907635182,0.0,0.0696217219772569,0.5105360872592248
76,Iran (Islamic Rep. of),377,0,521,1475,2373,0.15887062789717657,0.0,0.21955330804888326,0.6215760640539402
77,Iraq,557,425,49,7431,8462,0.06582368234459939,0.050224533207279605,0.005790593240368707,0.8781611912077523
78,Ireland,5206,537,29526,10704,45973,0.11324038022317447,0.011680769147108085,0.6422465360102669,0.23283231461945056
79,Israel,989,639,21032,20014,42674,0.023175704175844778,0.014973988845667151,0.4928527909265595,0.4689975160519286
80,Italy,44999,161006,356181,16396,578582,0.07777462831543325,0.27827689074323086,0.6156102332945028,0.02833824764683312
81,Jamaica,0,0,0,10,10,0.0,0.0,0.0,1.0
82,Japan,275,1732,70980,16851,89838,0.0030610654734076893,0.01927914690888043,0.7900888265544647,0.18757096106324717
83,Jordan,38655,15,3308,7339,49317,0.7838068009002981,0.0003041547539388041,0.06707626173530426,0.14881278261045885
84,Kazakhstan,820,5,1567,955,3347,0.24499551837466388,0.0014938751120406335,0.46818046011353454,0.28533014639976095
85,Kenya,49891,18626,10287,112402,191206,0.2609280043513279,0.09741326109013315,0.053800612951476416,0.5878581216070625
86,Kuwait,1066,0,59,3145,4270,0.2496487119437939,0.0,0.013817330210772834,0.7365339578454333
87,Kyrgyzstan,883,5,1202,1250,3340,0.26437125748502993,0.0014970059880239522,0.3598802395209581,0.37425149700598803
88,Lao People's Dem. Rep.,10,0,0,0,10,1.0,0.0,0.0,0.0
89,Latvia,163,444,750,949,2306,0.07068516912402428,0.19254119687771032,0.32523850823937556,0.41153512575888984
90,Lebanon,23943,26,6901,13921,44791,0.5345493514322074,0.0005804737558884598,0.15407113036101003,0.3107990444508942
91,Lesotho,122,5,0,0,127,0.9606299212598425,0.03937007874015748,0.0,0.0
92,Liberia,290,15,895,66,1266,0.22906793048973143,0.011848341232227487,0.7069510268562401,0.052132701421800945
93,Libya,7480,0,196,25860,33536,0.223043893129771,0.0,0.005844465648854962,0.7711116412213741
94,Liechtenstein,56,35,276,541,908,0.06167400881057269,0.03854625550660793,0.3039647577092511,0.5958149779735683
95,Lithuania,727,289,1588,1428,4032,0.18030753968253968,0.0716765873015873,0.39384920634920634,0.3541666666666667
96,Luxembourg,3750,248,9892,3830,17720,0.21162528216704288,0.01399548532731377,0.5582392776523702,0.21613995485327314
97,Madagascar,107,0,0,111,218,0.4908256880733945,0.0,0.0,0.5091743119266054
98,Malawi,11329,67,1713,25249,38358,0.29534907972261326,0.0017467021221127274,0.0446582199280463,0.6582459982272277
99,Malaysia,193879,158,26809,47888,268734,0.7214531841895704,0.0005879419798015882,0.09976035782595429,0.17819851600467376
100,Mali,11722,0,42,3356,15120,0.7752645502645502,0.0,0.002777777777777778,0.22195767195767196
101,Malta,4123,8074,5009,5010,22216,0.185586964350018,0.36343176089305007,0.22546813107670147,0.22551314368023045
102,Mauritania,2603,5,1694,2201,6503,0.4002767953252345,0.0007688759034291865,0.2604951560818084,0.3384591726895279
103,Mauritius,26,0,0,0,26,1.0,0.0,0.0,0.0
104,Mexico,23314,2926,9832,21233,57305,0.40684058982636767,0.05106011691824448,0.17157316115522206,0.3705261321001658
105,Micronesia (Federated States of),5,0,51,0,56,0.08928571428571429,0.0,0.9107142857142857,0.0
106,Mongolia,51,0,5,5,61,0.8360655737704918,0.0,0.08196721311475409,0.08196721311475409
107,Montenegro,34,15,1628,13187,14864,0.00228740581270183,0.0010091496232508073,0.10952637244348762,0.8871770721205597
108,Montserrat,0,0,0,15,15,0.0,0.0,0.0,1.0
109,Morocco,2291,20,8505,13786,24602,0.09312251036501097,0.0008129420372327453,0.3457036013332249,0.5603609462645314
110,Mozambique,1935,0,392,12863,15190,0.12738643844634628,0.0,0.025806451612903226,0.8468071099407505
111,Namibia,2493,0,588,1547,4628,0.5386776145203112,0.0,0.12705272255834055,0.3342696629213483
112,Nauru,796,0,332,113,1241,0.6414182111200645,0.0,0.26752618855761484,0.09105560032232071
113,Nepal,925,1206,388,544,3063,0.3019915115899445,0.39373163565132224,0.12667319621286321,0.17760365654587007
114,Netherlands,57261,48988,84813,17237,208299,0.2748981032074086,0.23518115785481447,0.4071695015338528,0.08275123740392416
115,New Zealand,1676,0,3223,243,5142,0.32594321275768184,0.0,0.6267989109295994,0.047257876312718786
116,Nicaragua,358,0,0,388,746,0.47989276139410186,0.0,0.0,0.5201072386058981
117,Niger,3326,0,231,8576,12133,0.2741284101211572,0.0,0.019038984587488667,0.7068326052913542
118,Nigeria,20830,211,1006,2589,24636,0.8455106348433187,0.008564702062023056,0.04083455106348433,0.1050901120311739
119,North Macedonia,11,10,105,7655,7781,0.0014137000385554556,0.0012851818532322323,0.01349440945893844,0.9838067086492739
120,Norway,45017,13465,108294,33641,200417,0.22461667423422166,0.06718491944296143,0.5403433840442677,0.16785502227854923
121,Oman,363,0,5,217,585,0.6205128205128205,0.0,0.008547008547008548,0.37094017094017095
122,Pakistan,11202,0,15134,10283,36619,0.30590676970971353,0.0,0.41328272208416394,0.2808105082061225
123,Palau,16,0,0,0,16,1.0,0.0,0.0,0.0
124,Panama,998,0,476,17939,19413,0.05140884973986504,0.0,0.024519651779735228,0.9240714984803997
125,Papua New Guinea,525,0,286,297,1108,0.47382671480144406,0.0,0.2581227436823105,0.26805054151624547
126,Paraguay,908,0,35,35,978,0.9284253578732107,0.0,0.03578732106339468,0.03578732106339468
127,Peru,2250,5,2029,5719,10003,0.22493252024392682,0.000499850044986504,0.20283914825552335,0.5717284814555633
128,Philippines,535,5,76,159,775,0.6903225806451613,0.0064516129032258064,0.09806451612903226,0.20516129032258065
129,Poland,1808,5023,33899,75090,115820,0.015610429977551374,0.043369020894491454,0.29268692799171125,0.6483336211362459
130,Portugal,633,1631,1000,3571,6835,0.09261155815654719,0.23862472567666423,0.14630577907827358,0.522457937088515
131,Qatar,199,5,5,100,309,0.6440129449838188,0.016181229773462782,0.016181229773462782,0.32362459546925565
132,Rep. of Korea,671,2108,26152,9897,38828,0.017281343360461523,0.0542907180385289,0.673534562686721,0.2548933759142887
133,Rep. of Moldova,133,478,573,257,1441,0.0922970159611381,0.33171408743927827,0.3976405274115198,0.17834836918806385
134,Romania,3465,2634,10554,5702,22355,0.15499888168195033,0.11782598971147394,0.47210914784164615,0.25506598076492953
135,Russian Federation,8232,442856,19546,31439,502073,0.01639602209240489,0.8820549999701238,0.038930593758278176,0.06261838417919306
136,Rwanda,29685,44,891,355,30975,0.9583535108958838,0.0014205004035512511,0.028765133171912833,0.011460855528652138
137,Saint Kitts and Nevis,5,0,5,0,10,0.5,0.0,0.5,0.0
138,Samoa,5,0,0,0,5,1.0,0.0,0.0,0.0
139,Saudi Arabia,342,0,5,373,720,0.475,0.0,0.006944444444444444,0.5180555555555556
140,Senegal,464,177,457,2672,3770,0.12307692307692308,0.04694960212201592,0.12122015915119363,0.7087533156498673
141,Serbia and Kosovo: S/RES/1244 (1999),154,90,594,32882,33720,0.004567022538552788,0.0026690391459074734,0.017615658362989325,0.9751482799525504
142,Sierra Leone,5,22,5,391,423,0.01182033096926714,0.05200945626477541,0.01182033096926714,0.9243498817966903
143,Sint Maarten (Dutch part),0,0,5,10,15,0.0,0.0,0.3333333333333333,0.6666666666666666
144,Slovakia,272,581,1238,2479,4570,0.05951859956236324,0.12713347921225382,0.2708971553610503,0.5424507658643326
145,Slovenia,583,87,2369,8129,11168,0.05220272206303725,0.007790114613180516,0.21212392550143266,0.7278832378223495
146,Solomon Islands,5,0,0,5,10,0.5,0.0,0.0,0.5
147,Somalia,2810,0,1066,21770,25646,0.10956874366372923,0.0,0.04156593620837558,0.8488653201278952
148,South Africa,56689,0,573261,955250,1585200,0.035761418117587686,0.0,0.3616332323996972,0.6026053494827152
149,South Sudan,339,61,148,1141,1689,0.20071047957371227,0.036116044997039666,0.08762581409117821,0.6755476613380699
150,Spain,4941,53796,45925,1673,106335,0.046466356326703345,0.5059105656651149,0.43188978229181363,0.01573329571636808
151,Sri Lanka,2803,0,920,1330,5053,0.5547199683356422,0.0,0.18207005739164853,0.26320997427270926
152,Sudan,76623,95,2056,28073,106847,0.7171282300860108,0.0008891218284088463,0.01924246820219566,0.26274017988338466
153,Suriname,44,0,55,68,167,0.2634730538922156,0.0,0.32934131736526945,0.40718562874251496
154,Sweden,84970,164409,329522,118617,697518,0.12181764484930854,0.23570574522808013,0.4724207834063064,0.17005582651630496
155,Switzerland,52062,60615,60466,103885,277028,0.18793046190276796,0.218804597369219,0.21826674559972278,0.3749981951282903
156,Syrian Arab Rep.,8088,168,8206,20786,37248,0.21713917525773196,0.004510309278350515,0.22030713058419243,0.558043384879725
157,Tajikistan,5818,0,1688,2008,9514,0.6115198654614252,0.0,0.17742274542779063,0.21105738911078412
158,Thailand,18618,0,10150,16453,45221,0.41171137303465205,0.0,0.22445324075097853,0.36383538621436945
159,Timor-Leste,0,0,0,15,15,0.0,0.0,0.0,1.0
160,Togo,1034,10813,663,464,12974,0.07969785725296748,0.8334361029751811,0.05110220440881764,0.03576383536303376
161,Trinidad and Tobago,2519,5,123,544,3191,0.7894077091820746,0.0015669069257286117,0.03854591037292385,0.17047947351927295
162,Tunisia,4318,0,919,1008,6245,0.6914331465172138,0.0,0.14715772618094475,0.16140912730184148
163,Turkey,128688,0,15445,239901,384034,0.33509533010098064,0.0,0.04021779321622564,0.6246868766827937
164,Turkmenistan,0,0,0,5,5,0.0,0.0,0.0,1.0
165,Turks and Caicos Islands,5,0,0,27,32,0.15625,0.0,0.0,0.84375
166,Uganda,239068,0,28127,43376,310571,0.769769231512279,0.0,0.09056544236261596,0.13966532612510504
167,Ukraine,1804,867,6892,10088,19651,0.09180194392142893,0.044119892117449495,0.3507200651366343,0.5133580988244874
168,United Arab Emirates,2555,18,81,3617,6271,0.40743103173337586,0.00287035560516664,0.01291660022324988,0.5767820124382076
169,United Kingdom of Great Britain and Northern Ireland,125929,18793,257832,57647,460201,0.2736391272509186,0.04083650404931758,0.5602595387667563,0.12526482993300753
170,United Rep. of Tanzania,1841,0,960,7862,10663,0.17265309950295413,0.0,0.09003094813842258,0.7373159523586232
171,United States of America,280671,2292,302069,491284,1076316,0.2607700712430179,0.0021294861360418318,0.280650849750445,0.4564495928704953
172,Uruguay,260,0,204,7801,8265,0.03145795523290986,0.0,0.024682395644283123,0.9438596491228071
173,Venezuela (Bolivarian Republic of),6990,0,21227,7628,35845,0.19500627702608453,0.0,0.592188589761473,0.21280513321244246
174,Viet Nam,5,0,0,0,5,1.0,0.0,0.0,0.0
175,Yemen,6849,83,2435,18441,27808,0.24629602991944763,0.002984752589182969,0.08756472957422325,0.6631544879171462
176,Zambia,40609,0,2228,2978,45815,0.8863690930917821,0.0,0.04863036123540325,0.06500054567281457
177,Zimbabwe,3916,1219,1512,3221,9868,0.3968382650993109,0.12353060397243616,0.15322253749493311,0.32640859343331985
